                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.41886,                0.68086,                0.70748,                0.89347,                0.97192,                    0.5,                  0.995,                0.85704,                0.97192,                    0.5,                  0.995,                0.83628,                0.53543,                 1.0221,                 1.5942,                0.82811,             0.00038624,             0.00038624,             0.00038624
                     38,                0.45654,                0.60552,                0.69638,                 0.9161,                0.97192,                    0.5,                  0.995,                0.85704,                0.97192,                    0.5,                  0.995,                0.83628,                0.53543,                 1.0221,                 1.5942,                0.82811,             0.00039086,             0.00039086,             0.00039086
                     39,                0.49114,                 0.6639,                0.71362,                0.91127,                0.97219,                    0.5,                  0.995,                0.87723,                0.97219,                    0.5,                  0.995,                0.84494,                0.51978,                 1.0008,                 1.6482,                0.82568,             0.00039515,             0.00039515,             0.00039515
                     40,                 0.5271,                0.75569,                0.68816,                0.93223,                0.97219,                    0.5,                  0.995,                0.87723,                0.97219,                    0.5,                  0.995,                0.84494,                0.51978,                 1.0008,                 1.6482,                0.82568,             0.00039911,             0.00039911,             0.00039911
                     41,                0.56798,                0.80789,                0.76377,                0.92405,                0.97211,                    0.5,                  0.995,                0.87411,                0.97211,                    0.5,                  0.995,                0.85064,                0.52476,                0.98373,                 1.7158,                0.82634,             0.00040275,             0.00040275,             0.00040275
                     42,                0.45224,                0.66411,                0.71629,                0.91494,                0.97211,                    0.5,                  0.995,                0.87411,                0.97211,                    0.5,                  0.995,                0.85064,                0.52476,                0.98373,                 1.7158,                0.82634,             0.00040605,             0.00040605,             0.00040605
                     43,                0.51985,                0.70764,                0.73196,                0.95774,                0.97216,                    0.5,                  0.995,                0.84437,                0.97216,                    0.5,                  0.995,                0.84541,                0.57168,                0.95798,                 1.7835,                0.82965,             0.00040902,             0.00040902,             0.00040902
                     44,                0.43931,                0.64821,                0.64529,                0.89563,                0.97216,                    0.5,                  0.995,                0.84437,                0.97216,                    0.5,                  0.995,                0.84541,                0.57168,                0.95798,                 1.7835,                0.82965,             0.00041166,             0.00041166,             0.00041166
                     45,                0.44842,                0.64058,                0.64965,                0.87654,                0.97306,                    0.5,                  0.995,                0.84423,                0.97306,                    0.5,                  0.995,                0.84759,                 0.6062,                0.93588,                 1.9203,                0.83813,             0.00041398,             0.00041398,             0.00041398
                     46,                0.52255,                0.68766,                 0.7157,                0.91679,                0.97306,                    0.5,                  0.995,                0.84423,                0.97306,                    0.5,                  0.995,                0.84759,                 0.6062,                0.93588,                 1.9203,                0.83813,             0.00041596,             0.00041596,             0.00041596
                     47,                0.45853,                0.65971,                0.62304,                0.85162,                0.97487,                    0.5,                  0.995,                0.84789,                0.97487,                    0.5,                  0.995,                 0.8506,                0.59718,                0.95328,                 1.9959,                0.83376,             0.00041761,             0.00041761,             0.00041761
