                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                  1.462,                  1.451,                 1.5371,                 0.8588,                0.83333,                0.83862,                0.36242,                 2.0656,                 1.8781,                 2.3936,             0.00083736,             0.00083736,             0.00083736
                     46,                 1.5895,                 1.4746,                   1.64,                0.76086,                0.88402,                0.79486,                0.30271,                 2.1842,                 1.8795,                 2.4537,             0.00084116,             0.00084116,             0.00084116
                     47,                 1.3077,                 1.6719,                 1.5267,                0.76086,                0.88402,                0.79486,                0.30271,                 2.1842,                 1.8795,                 2.4537,              0.0008443,              0.0008443,              0.0008443
                     48,                 1.3317,                 1.5409,                 1.3564,                 0.8573,                0.88889,                0.84962,                0.40039,                 2.0457,                 1.7645,                 2.3909,             0.00084678,             0.00084678,             0.00084678
                     49,                 1.2654,                 1.4591,                 1.4898,                 0.8573,                0.88889,                0.84962,                0.40039,                 2.0457,                 1.7645,                 2.3909,              0.0008486,              0.0008486,              0.0008486
                     50,                 1.4754,                 1.6355,                  1.605,                0.88201,                0.83075,                0.89888,                0.35368,                 2.0286,                 1.6892,                 2.3974,             0.00084975,             0.00084975,             0.00084975
                     51,                  1.231,                 1.4573,                 1.3568,                0.88201,                0.83075,                0.89888,                0.35368,                 2.0286,                 1.6892,                 2.3974,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.5262,                 1.2732,                 1.5263,                0.84094,                 0.8815,                0.85584,                0.35679,                 2.1279,                 1.6231,                 2.6062,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.5459,                 1.4571,                  1.494,                0.84094,                 0.8815,                0.85584,                0.35679,                 2.1279,                 1.6231,                 2.6062,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.2199,                 1.3109,                 1.3767,                0.86846,                0.88889,                0.86906,                0.38607,                 2.0812,                 1.6703,                 2.6311,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.4687,                 1.4101,                 1.4538,                0.86846,                0.88889,                0.86906,                0.38607,                 2.0812,                 1.6703,                 2.6311,             0.00077582,             0.00077582,             0.00077582
                     56,                  1.448,                 1.9358,                 1.5228,                0.87372,                0.88889,                0.88362,                0.37356,                 2.0656,                 1.8578,                 2.6217,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.4269,                 1.3718,                 1.5178,                0.87372,                0.88889,                0.88362,                0.37356,                 2.0656,                 1.8578,                 2.6217,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.4052,                 1.2598,                 1.4516,                0.82497,                0.83333,                0.78609,                 0.3771,                  1.948,                 1.8553,                 2.4822,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1879,                 1.3461,                 1.3086,                0.82497,                0.83333,                0.78609,                 0.3771,                  1.948,                 1.8553,                 2.4822,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.3675,                 1.3085,                 1.4863,                0.78721,                0.82259,                0.72723,                0.29982,                 1.9989,                 2.0276,                 2.4822,             0.00069331,             0.00069331,             0.00069331
