                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.48264,                0.66708,                0.90115,                0.97157,                0.98449,                  0.995,                0.90313,                 0.4655,                 1.2276,                0.80528,             0.00030511,             0.00030511,             0.00030511
                     79,                0.43304,                 0.6042,                0.89397,                0.97157,                0.98449,                  0.995,                0.90313,                 0.4655,                 1.2276,                0.80528,              0.0002962,              0.0002962,              0.0002962
                     80,                0.47028,                0.60504,                0.90231,                0.97157,                0.98449,                  0.995,                0.90313,                 0.4655,                 1.2276,                0.80528,             0.00028696,             0.00028696,             0.00028696
                     81,                0.40491,                 0.5462,                0.85956,                0.97187,                0.98967,                  0.995,                0.90082,                0.44558,                 1.1608,                0.80201,             0.00027739,             0.00027739,             0.00027739
                     82,                 0.3962,                0.57605,                0.84092,                0.97187,                0.98967,                  0.995,                0.90082,                0.44558,                 1.1608,                0.80201,             0.00026749,             0.00026749,             0.00026749
                     83,                0.37804,                0.54799,                0.86631,                0.97187,                0.98967,                  0.995,                0.90082,                0.44558,                 1.1608,                0.80201,             0.00025726,             0.00025726,             0.00025726
                     84,                0.37982,                 0.5425,                0.84113,                0.97174,                0.99589,                  0.995,                0.90915,                  0.436,                 1.0987,                0.79961,              0.0002467,              0.0002467,              0.0002467
                     85,                0.41704,                0.56232,                0.86557,                0.97174,                0.99589,                  0.995,                0.90915,                  0.436,                 1.0987,                0.79961,             0.00023581,             0.00023581,             0.00023581
                     86,                0.33909,                0.52214,                0.88821,                0.97174,                0.99589,                  0.995,                0.90915,                  0.436,                 1.0987,                0.79961,             0.00022459,             0.00022459,             0.00022459
                     87,                0.38469,                0.58989,                0.90523,                0.97174,                0.99589,                  0.995,                0.90915,                  0.436,                 1.0987,                0.79961,             0.00021304,             0.00021304,             0.00021304
                     88,                0.38855,                0.54127,                0.85439,                0.96866,                      1,                  0.995,                0.89885,                0.42436,                  1.014,                 0.7934,             0.00020116,             0.00020116,             0.00020116
                     89,                0.50031,                0.60069,                0.91846,                0.96866,                      1,                  0.995,                0.89885,                0.42436,                  1.014,                 0.7934,             0.00018894,             0.00018894,             0.00018894
                     90,                0.38649,                0.59012,                0.87569,                0.96866,                      1,                  0.995,                0.89885,                0.42436,                  1.014,                 0.7934,              0.0001764,              0.0001764,              0.0001764
                     91,                0.36923,                 1.0278,                0.85223,                0.96866,                      1,                  0.995,                0.89885,                0.42436,                  1.014,                 0.7934,             0.00016353,             0.00016353,             0.00016353
                     92,                0.38639,                   1.02,                0.89956,                0.96636,                      1,                  0.995,                0.89837,                0.41284,                0.96738,                0.78869,             0.00015033,             0.00015033,             0.00015033
                     93,                0.36858,                0.91671,                0.86576,                0.96636,                      1,                  0.995,                0.89837,                0.41284,                0.96738,                0.78869,              0.0001368,              0.0001368,              0.0001368
                     94,                 0.3534,                 0.9495,                0.85345,                0.96636,                      1,                  0.995,                0.89837,                0.41284,                0.96738,                0.78869,             0.00012294,             0.00012294,             0.00012294
                     95,                0.32839,                0.84262,                0.85005,                0.96636,                      1,                  0.995,                0.89837,                0.41284,                0.96738,                0.78869,             0.00010875,             0.00010875,             0.00010875
                     96,                0.32636,                 0.9194,                0.87291,                0.96805,                      1,                  0.995,                0.90119,                0.40694,                0.93349,                0.78533,             9.4227e-05,             9.4227e-05,             9.4227e-05
                     97,                0.34892,                0.85715,                 0.8292,                0.96805,                      1,                  0.995,                0.90119,                0.40694,                0.93349,                0.78533,             7.9376e-05,             7.9376e-05,             7.9376e-05
                     98,                0.32541,                0.83761,                0.84659,                0.96805,                      1,                  0.995,                0.90119,                0.40694,                0.93349,                0.78533,             6.4195e-05,             6.4195e-05,             6.4195e-05
                     99,                0.35853,                0.86713,                0.83206,                0.96805,                      1,                  0.995,                0.90119,                0.40694,                0.93349,                0.78533,             4.8683e-05,             4.8683e-05,             4.8683e-05
                    100,                0.34262,                0.85295,                0.83337,                0.96994,                      1,                  0.995,                0.90529,                 0.4052,                0.87879,                0.78508,             3.2842e-05,             3.2842e-05,             3.2842e-05
